mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_tfidf__max_df;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;split3_test_score;split3_train_score;split4_test_score;split4_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
20.9905375957489;4.471299886703491;-0.02772887242616779;-0.023514297953839733;0.8;{'tfidf__max_df': 0.80000000000000004};1;-0.027292589239974022;-0.023707496460343494;-0.027681149352567547;-0.023476956377457593;-0.028323962295931007;-0.023278543217151924;-0.0278895398909265;-0.02349433595228656;-0.02745713502202915;-0.02361415776195909;1.6438181666432672;1.3785059518233513;0.0003595579585394248;0.00014468642983802516
21.136241674423218;4.525485849380493;-0.02772887242616779;-0.023514297953839733;0.810526315789;{'tfidf__max_df': 0.81052631578947376};1;-0.027292589239974022;-0.023707496460343494;-0.027681149352567547;-0.023476956377457593;-0.028323962295931007;-0.023278543217151924;-0.0278895398909265;-0.02349433595228656;-0.02745713502202915;-0.02361415776195909;1.3383882826517324;1.250984250447968;0.0003595579585394248;0.00014468642983802516
22.47334008216858;4.570514678955078;-0.02772887242616779;-0.023514297953839733;0.821052631579;{'tfidf__max_df': 0.82105263157894737};1;-0.027292589239974022;-0.023707496460343494;-0.027681149352567547;-0.023476956377457593;-0.028323962295931007;-0.023278543217151924;-0.0278895398909265;-0.02349433595228656;-0.02745713502202915;-0.02361415776195909;1.9172336422660803;2.2123459563888503;0.0003595579585394248;0.00014468642983802516
22.53303575515747;4.915264034271241;-0.02772887242616779;-0.023514297953839733;0.831578947368;{'tfidf__max_df': 0.83157894736842108};1;-0.027292589239974022;-0.023707496460343494;-0.027681149352567547;-0.023476956377457593;-0.028323962295931007;-0.023278543217151924;-0.0278895398909265;-0.02349433595228656;-0.02745713502202915;-0.02361415776195909;2.8855050016238386;2.763352968549601;0.0003595579585394248;0.00014468642983802516
21.775187158584593;4.953733921051025;-0.02772887242616779;-0.023514297953839733;0.842105263158;{'tfidf__max_df': 0.8421052631578948};1;-0.027292589239974022;-0.023707496460343494;-0.027681149352567547;-0.023476956377457593;-0.028323962295931007;-0.023278543217151924;-0.0278895398909265;-0.02349433595228656;-0.02745713502202915;-0.02361415776195909;2.73159940192055;2.6574606041635245;0.0003595579585394248;0.00014468642983802516
22.401313257217407;5.636822032928467;-0.02772887242616779;-0.023514297953839733;0.852631578947;{'tfidf__max_df': 0.85263157894736841};1;-0.027292589239974022;-0.023707496460343494;-0.027681149352567547;-0.023476956377457593;-0.028323962295931007;-0.023278543217151924;-0.0278895398909265;-0.02349433595228656;-0.02745713502202915;-0.02361415776195909;3.1679613528672417;2.3111603960523177;0.0003595579585394248;0.00014468642983802516
21.13547029495239;5.455172443389893;-0.02772887242616779;-0.023514297953839733;0.863157894737;{'tfidf__max_df': 0.86315789473684212};1;-0.027292589239974022;-0.023707496460343494;-0.027681149352567547;-0.023476956377457593;-0.028323962295931007;-0.023278543217151924;-0.0278895398909265;-0.02349433595228656;-0.02745713502202915;-0.02361415776195909;2.78511121446012;2.099618196479863;0.0003595579585394248;0.00014468642983802516
21.74017753601074;5.379390811920166;-0.02772887242616779;-0.023514297953839733;0.873684210526;{'tfidf__max_df': 0.87368421052631584};1;-0.027292589239974022;-0.023707496460343494;-0.027681149352567547;-0.023476956377457593;-0.028323962295931007;-0.023278543217151924;-0.0278895398909265;-0.02349433595228656;-0.02745713502202915;-0.02361415776195909;2.8488642712978525;2.6071824437520856;0.0003595579585394248;0.00014468642983802516
22.653056716918947;5.155016899108887;-0.02772887242616779;-0.023514297953839733;0.884210526316;{'tfidf__max_df': 0.88421052631578956};1;-0.027292589239974022;-0.023707496460343494;-0.027681149352567547;-0.023476956377457593;-0.028323962295931007;-0.023278543217151924;-0.0278895398909265;-0.02349433595228656;-0.02745713502202915;-0.02361415776195909;2.279298070406282;2.15540094423299;0.0003595579585394248;0.00014468642983802516
23.62713646888733;5.596691513061524;-0.02772887242616779;-0.023514297953839733;0.894736842105;{'tfidf__max_df': 0.89473684210526316};1;-0.027292589239974022;-0.023707496460343494;-0.027681149352567547;-0.023476956377457593;-0.028323962295931007;-0.023278543217151924;-0.0278895398909265;-0.02349433595228656;-0.02745713502202915;-0.02361415776195909;2.7210978782210455;2.388748455426426;0.0003595579585394248;0.00014468642983802516
23.337086963653565;5.426461887359619;-0.02772887242616779;-0.023514297953839733;0.905263157895;{'tfidf__max_df': 0.90526315789473688};1;-0.027292589239974022;-0.023707496460343494;-0.027681149352567547;-0.023476956377457593;-0.028323962295931007;-0.023278543217151924;-0.0278895398909265;-0.02349433595228656;-0.02745713502202915;-0.02361415776195909;2.794337794164546;2.0676213647380215;0.0003595579585394248;0.00014468642983802516
22.963355684280394;5.539211797714233;-0.02772887242616779;-0.023514297953839733;0.915789473684;{'tfidf__max_df': 0.91578947368421049};1;-0.027292589239974022;-0.023707496460343494;-0.027681149352567547;-0.023476956377457593;-0.028323962295931007;-0.023278543217151924;-0.0278895398909265;-0.02349433595228656;-0.02745713502202915;-0.02361415776195909;2.518784108255179;2.0125476697040803;0.0003595579585394248;0.00014468642983802516
22.977472877502443;5.534210300445556;-0.02772887242616779;-0.023514297953839733;0.926315789474;{'tfidf__max_df': 0.9263157894736842};1;-0.027292589239974022;-0.023707496460343494;-0.027681149352567547;-0.023476956377457593;-0.028323962295931007;-0.023278543217151924;-0.0278895398909265;-0.02349433595228656;-0.02745713502202915;-0.02361415776195909;2.382912401143022;2.1299445608134024;0.0003595579585394248;0.00014468642983802516
